checkpoint,K,M,logical_compute,unused_compute,verifier_calls,verifier_candidate_scores,notation,q,ratio,p_miss,ell,regret_mean,p_miss_times_ell,O_M,Q_empirical,delta_vs_psp,n_miss
18,2,9,254,2,2,11,9→2@18,0.28125,0.2222222222222222,0.45345,0.366306933805679,0.16610187913418514,0.16610187913418517,0.9871176712234874,0.8210157920893022,-0.030597458280069212,45345
18,3,6,246,10,2,9,6→3@18,0.28125,0.5,0.23121,0.31066726271026707,0.07182937781124085,0.07182937781124085,0.8798631142454642,0.8080337364342233,-0.04357951393514814,23121
19,1,11,254,2,2,12,11→1@19,0.296875,0.09090909090909091,0.6581,0.48811836807772135,0.3212306980319484,0.3212306980319484,1.0344853612548006,0.7132546632228522,-0.13835858714651916,65810
19,2,8,242,14,2,10,8→2@19,0.296875,0.25,0.41635,0.3609634877320572,0.15028714811724203,0.15028714811724203,0.9576431964902141,0.807356048372972,-0.044257201996399376,41635
19,3,6,249,7,2,9,6→3@19,0.296875,0.5,0.22208,0.31188999088960295,0.06926452917676303,0.06926452917676303,0.8798631142454642,0.8105985850687011,-0.04101466530067033,22208
20,1,10,244,12,2,11,10→1@20,0.3125,0.1,0.64448,0.4840598742263161,0.3119669077413762,0.3119669077413762,1.0124176234370654,0.7004507156956892,-0.15116253467368224,64448
20,2,8,248,8,2,10,8→2@20,0.3125,0.25,0.40407,0.35119176477820757,0.14190605639393034,0.14190605639393034,0.9576431964902141,0.8157371400962838,-0.03587611027308757,40407
20,3,6,252,4,2,9,6→3@20,0.3125,0.5,0.20966,0.30104116205703335,0.06311629003687762,0.06311629003687762,0.8798631142454642,0.8167468242085866,-0.034866426160784836,20966
21,1,10,253,3,2,11,10→1@21,0.328125,0.1,0.63358,0.459776137412448,0.29130496514177884,0.29130496514177884,1.0124176234370654,0.7211126582952866,-0.13050059207408482,63358
21,2,8,254,2,2,10,8→2@21,0.328125,0.25,0.39068,0.33653495809420875,0.13147747742824548,0.13147747742824548,0.9576431964902141,0.8261657190619687,-0.025447531307402738,39068
21,3,6,255,1,2,9,6→3@21,0.328125,0.5,0.19918,0.28556371004513464,0.056878579766789915,0.056878579766789915,0.8798631142454642,0.8229845344786743,-0.028628715890697154,19918
22,1,9,240,16,2,10,9→1@22,0.34375,0.1111111111111111,0.59899,0.45472459891719685,0.27237548750541174,0.27237548750541174,0.9871176712234874,0.7147421837180756,-0.13687106665129578,59899
22,2,7,238,18,2,9,7→2@22,0.34375,0.2857142857142857,0.35405,0.32661906496213844,0.11563947994984512,0.11563947994984511,0.9226065065374334,0.8069670265875882,-0.04464622378178318,35405
22,3,5,236,20,2,8,5→3@22,0.34375,0.6,0.14441,0.2812776149655703,0.04061930037717801,0.04061930037717801,0.8258808895138802,0.7852615891367022,-0.06635166123266922,14441
23,1,9,248,8,2,10,9→1@23,0.359375,0.1111111111111111,0.58464,0.434753594348545,0.25417434139993333,0.2541743413999334,0.9871176712234874,0.732943329823554,-0.11866992054581738,58464
23,2,7,243,13,2,9,7→2@23,0.359375,0.2857142857142857,0.3457,0.31957802395893486,0.11047812288260378,0.11047812288260378,0.9226065065374334,0.8121283836548296,-0.039484866714541766,34570
23,3,5,238,18,2,8,5→3@23,0.359375,0.6,0.13669,0.2700266539679347,0.03690994333087699,0.03690994333087699,0.8258808895138802,0.7889709461830032,-0.06264230418636818,13669
24,1,9,256,0,2,10,9→1@24,0.375,0.1111111111111111,0.56926,0.41329312879863006,0.23527124649990816,0.23527124649990813,0.9871176712234874,0.7518464247235792,-0.0997668256457922,56926
